id,created_at,pedido_id,produto_id,quantidade,preco_unitario
758,2025-08-05 16:50:50.724327-03,439,99999,1,5.00
759,2025-08-05 16:50:50.784545-03,439,120,1,32.90
760,2025-08-05 16:57:15.064524-03,440,145,1,11.00
762,2025-08-05 17:11:49.75894-03,440,159,1,15.00
763,2025-08-05 17:12:23.298686-03,440,159,1,15.00
764,2025-08-05 17:12:23.298686-03,440,158,1,1.10
765,2025-08-05 17:12:30.409217-03,441,146,1,10.50
766,2025-08-05 17:12:37.663538-03,441,159,1,15.00
767,2025-08-05 17:12:47.166265-03,441,159,1,15.00
768,2025-08-05 17:12:47.166265-03,441,158,1,1.05
